OBJECTID,CAM17P_COD,CAM17P_DEN,POP_2011,SEGGI_TOT,SEGGI_UNI,SEGGI_PRO,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
1,99999999,99999999,126806.0,1,1,0,325836.368101,3260854220.04,country:it/region:val/cam_pluri:99999999,country:it/region:val
2,CP011_01,Piemonte 1 - 01,1148880.0,12,5,7,112917.667929,326724741.638,country:it/region:pie/cam_pluri:cp011-01,country:it/region:pie
3,CP011_02,Piemonte 1 - 02,1098900.0,11,4,7,706307.337236,6500183282.35,country:it/region:pie/cam_pluri:cp011-02,country:it/region:pie
4,CP012_01,Piemonte 2 - 01,1115105.0,12,4,8,975079.637935,10965066128.3,country:it/region:pie/cam_pluri:cp012-01,country:it/region:pie
5,CP012_02,Piemonte 2 - 02,1001031.0,10,4,6,767767.854983,7594722175.79,country:it/region:pie/cam_pluri:cp012-02,country:it/region:pie
6,CP031_01,Lombardia 1 - 01,839843.0,9,3,6,191163.05072,502943585.174,country:it/region:lom/cam_pluri:cp031-01,country:it/region:lom
7,CP031_02,Lombardia 1 - 02,991654.0,10,4,6,233091.943213,353373452.622,country:it/region:lom/cam_pluri:cp031-02,country:it/region:lom
8,CP031_03,Lombardia 1 - 03,1125385.0,12,5,7,110193.348417,166121941.905,country:it/region:lom/cam_pluri:cp031-03,country:it/region:lom
9,CP031_04,Lombardia 1 - 04,849013.0,9,3,6,275520.397896,851400365.486,country:it/region:lom/cam_pluri:cp031-04,country:it/region:lom
10,CP032_01,Lombardia 2 - 01,871886.0,9,3,6,277184.642988,1198242845.3,country:it/region:lom/cam_pluri:cp032-01,country:it/region:lom
11,CP032_02,Lombardia 2 - 02,1216693.0,13,5,8,761485.90431,5521502153.78,country:it/region:lom/cam_pluri:cp032-02,country:it/region:lom
12,CP033_01,Lombardia 3 - 01,1062990.0,11,4,7,500311.925027,4087797562.44,country:it/region:lom/cam_pluri:cp033-01,country:it/region:lom
