OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
165,CU151_06,Campania 1 - 06,Q48080537,Napoli - Circoscrizione 28 Ponticelli,256933.0,57366.1732571,40374384.8703,country:it/region:cam/cam_uni:cu151-06,country:it/region:cam
166,CU151_07,Campania 1 - 07,Q48080543,Napoli - Circoscrizione 9 San Lorenzo,250449.0,60825.5439743,16704085.9173,country:it/region:cam/cam_uni:cu151-07,country:it/region:cam
167,CU151_08,Campania 1 - 08,Q48080553,Napoli - Circoscrizione 19 Fuorigrotta,221672.0,56505.5051218,40976964.5671,country:it/region:cam/cam_uni:cu151-08,country:it/region:cam
168,CU151_09,Campania 1 - 09,Q48080563,Pozzuoli,287719.0,154141.071019,141224351.035,country:it/region:cam/cam_uni:cu151-09,country:it/region:cam
169,CU151_10,Campania 1 - 10,Q48080571,Portici,209572.0,64374.7017703,76088244.0761,country:it/region:cam/cam_uni:cu151-10,country:it/region:cam
170,CU151_11,Campania 1 - 11,Q48080582,Torre del Greco,255551.0,79648.3595618,95634783.5696,country:it/region:cam/cam_uni:cu151-11,country:it/region:cam
171,CU151_12,Campania 1 - 12,Q48080590,Castellammare di Stabia,244891.0,138345.459428,174781502.919,country:it/region:cam/cam_uni:cu151-12,country:it/region:cam
172,CU152_01,Campania 2 - 01,Q48080604,Benevento,239613.0,275384.750331,1393962979.96,country:it/region:cam/cam_uni:cu152-01,country:it/region:cam
173,CU152_02,Campania 2 - 02,Q48080610,Ariano Irpino,241718.0,403272.23893,3061477639.06,country:it/region:cam/cam_uni:cu152-02,country:it/region:cam
174,CU152_03,Campania 2 - 03,Q48080621,Caserta,307710.0,100171.420007,262802120.728,country:it/region:cam/cam_uni:cu152-03,country:it/region:cam
175,CU152_04,Campania 2 - 04,Q48080631,Santa Maria Capua Vetere,282411.0,329410.662276,1947728454.24,country:it/region:cam/cam_uni:cu152-04,country:it/region:cam
176,CU152_05,Campania 2 - 05,Q48080642,Aversa,314800.0,163982.530143,440744481.736,country:it/region:cam/cam_uni:cu152-05,country:it/region:cam
177,CU152_06,Campania 2 - 06,Q48080651,Avellino,247970.0,188333.038755,652052142.272,country:it/region:cam/cam_uni:cu152-06,country:it/region:cam
178,CU152_07,Campania 2 - 07,Q48080658,Scafati,288952.0,82348.0424532,191420602.532,country:it/region:cam/cam_uni:cu152-07,country:it/region:cam
179,CU152_08,Campania 2 - 08,Q48080666,Salerno,289982.0,164617.879783,290967781.844,country:it/region:cam/cam_uni:cu152-08,country:it/region:cam
180,CU152_09,Campania 2 - 09,Q48080677,Battipaglia,253610.0,228775.083901,1149041183.22,country:it/region:cam/cam_uni:cu152-09,country:it/region:cam
181,CU152_10,Campania 2 - 10,Q48080689,Agropoli,245088.0,371245.637898,3101464561.75,country:it/region:cam/cam_uni:cu152-10,country:it/region:cam
182,CU161_01,Puglia - 01,Q48080697,Bari - Circoscrizione 8 Libertà Marconi-S. Girolamo-Fesca,214802.0,84021.3510875,44211422.6807,country:it/region:pug/cam_uni:cu161-01,country:it/region:pug
183,CU161_02,Puglia - 02,Q48080712,Bari -Bitonto,301522.0,227990.11458,446560619.443,country:it/region:pug/cam_uni:cu161-02,country:it/region:pug
184,CU161_03,Puglia - 03,Q48080722,Molfetta,236264.0,155141.244441,634897091.322,country:it/region:pug/cam_uni:cu161-03,country:it/region:pug
185,CU161_04,Puglia - 04,Q48080734,Andria,280555.0,208496.394322,806576863.822,country:it/region:pug/cam_uni:cu161-04,country:it/region:pug
186,CU161_05,Puglia - 05,Q48080747,Altamura,269197.0,419947.750871,2061617402.97,country:it/region:pug/cam_uni:cu161-05,country:it/region:pug
187,CU161_06,Puglia - 06,Q48080752,Monopoli,296284.0,353974.674393,1186097173.14,country:it/region:pug/cam_uni:cu161-06,country:it/region:pug
188,CU161_07,Puglia - 07,Q48080757,Lecce,261046.0,167795.772294,716303571.889,country:it/region:pug/cam_uni:cu161-07,country:it/region:pug
189,CU161_08,Puglia - 08,Q48080767,Nardò,266778.0,329751.876075,1047051954.95,country:it/region:pug/cam_uni:cu161-08,country:it/region:pug
190,CU161_09,Puglia - 09,Q48080774,Casarano,274194.0,244443.029352,1035519147.95,country:it/region:pug/cam_uni:cu161-09,country:it/region:pug
191,CU161_10,Puglia - 10,Q48080779,Taranto,246990.0,222152.636012,419001717.345,country:it/region:pug/cam_uni:cu161-10,country:it/region:pug
192,CU161_11,Puglia - 11,Q48080791,Martina Franca,273569.0,374833.587803,1673184729.2,country:it/region:pug/cam_uni:cu161-11,country:it/region:pug
193,CU161_12,Puglia - 12,Q48080801,Francavilla Fontana,237267.0,244545.032344,1186228618.19,country:it/region:pug/cam_uni:cu161-12,country:it/region:pug
194,CU161_13,Puglia - 13,Q48080810,Brindisi,227624.0,297948.764824,1050243759.42,country:it/region:pug/cam_uni:cu161-13,country:it/region:pug
195,CU161_14,Puglia - 14,Q48080824,San Severo,206811.0,428992.078581,3219657534.43,country:it/region:pug/cam_uni:cu161-14,country:it/region:pug
196,CU161_15,Puglia - 15,Q48080834,Cerignola,230321.0,477119.852946,2412630926.25,country:it/region:pug/cam_uni:cu161-15,country:it/region:pug
197,CU161_16,Puglia - 16,Q48080845,Foggia,229342.0,444677.676061,1600735194.63,country:it/region:pug/cam_uni:cu161-16,country:it/region:pug
198,CU171_01,Basilicata - 01,Q48080854,Potenza,260572.0,539114.990605,4505416480.04,country:it/region:bas/cam_uni:cu171-01,country:it/region:bas
199,CU171_02,Basilicata - 02,Q48080864,Matera,317464.0,702292.617186,5567693958.18,country:it/region:bas/cam_uni:cu171-02,country:it/region:bas
200,CU181_01,Calabria - 01,Q48080868,Castrovillari,239694.0,414600.970788,2487774005.77,country:it/region:cal/cam_uni:cu181-01,country:it/region:cal
201,CU181_02,Calabria - 02,Q48080876,Corigliano Calabro,230054.0,506457.356664,2739462039.85,country:it/region:cal/cam_uni:cu181-02,country:it/region:cal
202,CU181_03,Calabria - 03,Q48080885,Cosenza,244282.0,259631.328124,1482385696.24,country:it/region:cal/cam_uni:cu181-03,country:it/region:cal
203,CU181_04,Calabria - 04,Q48080896,Catanzaro,236574.0,294424.335182,1057577714.04,country:it/region:cal/cam_uni:cu181-04,country:it/region:cal
204,CU181_05,Calabria - 05,Q48080903,Crotone,227160.0,431201.611302,2540715765.38,country:it/region:cal/cam_uni:cu181-05,country:it/region:cal
205,CU181_06,Calabria - 06,Q48080912,Vibo Valentia,239954.0,300612.75932,1887508557.24,country:it/region:cal/cam_uni:cu181-06,country:it/region:cal
206,CU181_07,Calabria - 07,Q48080923,Gioia Tauro,266328.0,310589.988138,1915160333.47,country:it/region:cal/cam_uni:cu181-07,country:it/region:cal
207,CU181_08,Calabria - 08,Q48080934,Reggio di Calabria,275004.0,218536.331199,1111029966.74,country:it/region:cal/cam_uni:cu181-08,country:it/region:cal
208,CU191_01,Sicilia 1 - 01,Q48080942,Palermo - Resuttana-San Lorenzo,229942.0,102982.033825,132210643.596,country:it/region:sic/cam_uni:cu191-01,country:it/region:sic
209,CU191_02,Sicilia 1 - 02,Q48080949,Palermo - Libertà,223801.0,27036.3495944,17236680.4725,country:it/region:sic/cam_uni:cu191-02,country:it/region:sic
210,CU191_03,Sicilia 1 - 03,Q48080955,Palermo - Settecannoli,227376.0,47294.014163,54610002.2673,country:it/region:sic/cam_uni:cu191-03,country:it/region:sic
211,CU191_04,Sicilia 1 - 04,Q48080964,Gela,242985.0,423980.625095,2003246713.77,country:it/region:sic/cam_uni:cu191-04,country:it/region:sic
212,CU191_05,Sicilia 1 - 05,Q48080973,Bagheria,256410.0,355218.081491,2166522027.54,country:it/region:sic/cam_uni:cu191-05,country:it/region:sic
213,CU191_06,Sicilia 1 - 06,Q48080981,Monreale,308195.0,428301.681088,2676902241.89,country:it/region:sic/cam_uni:cu191-06,country:it/region:sic
214,CU191_07,Sicilia 1 - 07,Q48080990,Agrigento,292485.0,277454.206038,1445881862.42,country:it/region:sic/cam_uni:cu191-07,country:it/region:sic
215,CU191_08,Sicilia 1 - 08,Q48080999,Marsala,309821.0,453581.857372,1612291625.68,country:it/region:sic/cam_uni:cu191-08,country:it/region:sic
216,CU191_09,Sicilia 1 - 09,Q48081007,Mazara del Vallo,274448.0,626434.53553,2463957632.74,country:it/region:sic/cam_uni:cu191-09,country:it/region:sic
217,CU192_01,Sicilia 2 - 01,Q48081017,Messina,284605.0,140604.659009,427612870.558,country:it/region:sic/cam_uni:cu192-01,country:it/region:sic
218,CU192_02,Sicilia 2 - 02,Q48081029,Barcellona Pozzo di Gotto,314732.0,469978.642363,1917056739.28,country:it/region:sic/cam_uni:cu192-02,country:it/region:sic
219,CU192_03,Sicilia 2 - 03,Q48081034,Enna,223938.0,488867.095298,3496078961.58,country:it/region:sic/cam_uni:cu192-03,country:it/region:sic
220,CU192_04,Sicilia 2 - 04,Q48081042,Acireale,281641.0,234984.72921,1152394804.39,country:it/region:sic/cam_uni:cu192-04,country:it/region:sic
221,CU192_05,Sicilia 2 - 05,Q48081050,Catania,293902.0,99208.1271472,182895234.733,country:it/region:sic/cam_uni:cu192-05,country:it/region:sic
222,CU192_06,Sicilia 2 - 06,Q48081062,Misterbianco,243476.0,160721.681134,314328915.35,country:it/region:sic/cam_uni:cu192-06,country:it/region:sic
223,CU192_07,Sicilia 2 - 07,Q48081070,Paternò,287722.0,418334.376877,2020827235.81,country:it/region:sic/cam_uni:cu192-07,country:it/region:sic
224,CU192_08,Sicilia 2 - 08,Q48081081,Ragusa,267115.0,261660.932611,1394551516.74,country:it/region:sic/cam_uni:cu192-08,country:it/region:sic
225,CU192_09,Sicilia 2 - 09,Q48081090,Avola,213882.0,474232.516018,1693247204.16,country:it/region:sic/cam_uni:cu192-09,country:it/region:sic
226,CU192_10,Sicilia 2 - 10,Q48081100,Siracusa,226428.0,265959.154189,660163252.827,country:it/region:sic/cam_uni:cu192-10,country:it/region:sic
227,CU201_01,Sardegna - 01,Q48081109,Cagliari,283022.0,272409.585861,693446374.85,country:it/region:sar/cam_uni:cu201-01,country:it/region:sar
228,CU201_02,Sardegna - 02,Q48081120,Nuoro,230968.0,601419.494568,6206562280.82,country:it/region:sar/cam_uni:cu201-02,country:it/region:sar
229,CU201_03,Sardegna - 03,Q48081130,Carbonia,324470.0,626327.588915,3143701947.79,country:it/region:sar/cam_uni:cu201-03,country:it/region:sar
230,CU201_04,Sardegna - 04,Q48081140,Sassari,258104.0,533571.686109,2072033262.75,country:it/region:sar/cam_uni:cu201-04,country:it/region:sar
231,CU201_05,Sardegna - 05,Q48081152,Olbia,260034.0,1090989.99491,6958514228.5,country:it/region:sar/cam_uni:cu201-05,country:it/region:sar
232,CU201_06,Sardegna - 06,Q48081163,Oristano,282764.0,744348.288202,5025534437.83,country:it/region:sar/cam_uni:cu201-06,country:it/region:sar
