OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
25,CU031_07,Lombardia 1 - 07,Q48079414,Cinisello Balsamo,235749.0,63547.3575015,59162087.6563,country:it/region:lom/cam_uni:cu031-07,country:it/region:lom
26,CU031_08,Lombardia 1 - 08,Q48079419,Milano - Area Statistica 117,228078.0,77594.7914719,52113189.1703,country:it/region:lom/cam_uni:cu031-08,country:it/region:lom
27,CU031_09,Lombardia 1 - 09,Q48079425,Milano -Sesto San Giovanni,218964.0,36246.6291478,30637890.6296,country:it/region:lom/cam_uni:cu031-09,country:it/region:lom
28,CU031_10,Lombardia 1 - 10,Q48079430,Cologno Monzese,265605.0,102764.013227,139641628.982,country:it/region:lom/cam_uni:cu031-10,country:it/region:lom
29,CU031_11,Lombardia 1 - 11,Q48079438,Milano - Area Statistica 74,210831.0,21834.4879361,17477152.6304,country:it/region:lom/cam_uni:cu031-11,country:it/region:lom
30,CU031_12,Lombardia 1 - 12,Q48079447,Milano - Area Statistica 84,224000.0,24788.6567656,20246701.7534,country:it/region:lom/cam_uni:cu031-12,country:it/region:lom
31,CU031_13,Lombardia 1 - 13,Q48079457,Milano - Area Statistica 105,220155.0,22959.5735258,14481259.3499,country:it/region:lom/cam_uni:cu031-13,country:it/region:lom
32,CU031_14,Lombardia 1 - 14,Q48079464,Milano - Area Statistica 144,242321.0,71842.1236866,61803639.0009,country:it/region:lom/cam_uni:cu031-14,country:it/region:lom
33,CU031_15,Lombardia 1 - 15,Q48079470,Rozzano,286557.0,172504.474048,272277959.265,country:it/region:lom/cam_uni:cu031-15,country:it/region:lom
34,CU032_01,Lombardia 2 - 01,Q48079479,Sondrio,237952.0,580154.51313,3788709095.81,country:it/region:lom/cam_uni:cu032-01,country:it/region:lom
35,CU032_02,Lombardia 2 - 02,Q48079484,Varese,256953.0,132037.326801,529794477.364,country:it/region:lom/cam_uni:cu032-02,country:it/region:lom
36,CU032_03,Lombardia 2 - 03,Q48079489,Gallarate,310713.0,129187.18172,431946043.536,country:it/region:lom/cam_uni:cu032-03,country:it/region:lom
37,CU032_04,Lombardia 2 - 04,Q48079497,Busto Arsizio,304220.0,174809.802952,236502324.401,country:it/region:lom/cam_uni:cu032-04,country:it/region:lom
38,CU032_05,Lombardia 2 - 05,Q48079504,Como,297018.0,146292.279565,305119283.156,country:it/region:lom/cam_uni:cu032-05,country:it/region:lom
39,CU032_06,Lombardia 2 - 06,Q48079511,Cantù,232579.0,147076.557032,380873037.78,country:it/region:lom/cam_uni:cu032-06,country:it/region:lom
40,CU032_07,Lombardia 2 - 07,Q48079520,Merate,221420.0,157841.061392,346162604.06,country:it/region:lom/cam_uni:cu032-07,country:it/region:lom
41,CU032_08,Lombardia 2 - 08,Q48079528,Lecco,227724.0,180874.265026,700638132.98,country:it/region:lom/cam_uni:cu032-08,country:it/region:lom
42,CU033_01,Lombardia 3 - 01,Q48079533,Brescia,271385.0,94664.3716936,203395565.975,country:it/region:lom/cam_uni:cu033-01,country:it/region:lom
43,CU033_02,Lombardia 3 - 02,Q48079542,Lumezzane,278551.0,372230.317291,2608269936.65,country:it/region:lom/cam_uni:cu033-02,country:it/region:lom
44,CU033_03,Lombardia 3 - 03,Q48079548,Desenzano del Garda,260055.0,204144.215694,830016155.73,country:it/region:lom/cam_uni:cu033-03,country:it/region:lom
